Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
9.67,0,0.1724586954291496149272468746,0.17245869542915,0.17183505475534,0.17245869542915,0.17183505475534,0,0,0,0,6.5501414783376470997014307304,110.61337097691422706787469096,114.42234277875913313063709049,1215924000
9.68,0,0.1723746597476609225691362342,0.172374659747661,0.171752218668278,0.172374659747661,0.171752218668278,0,0,0,0,6.5475681347903054947014307305,110.5940606822911366949029685,114.41068247692374326306222987,1217182000
9.69,0,0.1722908865351736925772585971,0.172290886535174,0.171669641591894,0.172290886535174,0.171669641591894,0,0,0,0,6.5449999100728796227014307306,110.57480488921000913457540963,114.39906232824024443583641852,1218439000
9.70,0,0.1722071895468433698183480647,0.172207189546843,0.171587137294607,0.172207189546843,0.171587137294607,0,0,0,0,6.5424371026280163707014307303,110.55556811173237184974418384,114.38745795316499043109284161,1219696000
9.71,0,0.1721237769914840177299814379,0.172123776991484,0.171504913998437,0.172123776991484,0.171504913998437,0,0,0,0,6.5398793775487271787014307309,110.53634551811177524699490792,114.37586623517968113818050752,1220954000
9.72,0,0.1720406389542123079547109437,0.172040638954212,0.171422961801639,0.172040638954212,0.171422961801639,0,0,0,0,6.5373269207761459297014307311,110.51714816250910832110275763,114.36429457164529842634518865,1222211000
9.73,0,0.1719575741964891610417375738,0.171957574196489,0.17134107947875,0.171957574196489,0.17134107947875,0,0,0,0,6.5347793951289512627014307306,110.49793145713741158424909487,114.35271278429152370542227522,1223469000
9.74,0,0.1718747829586292610318739855,0.171874782958629,0.171259467283101,0.171874782958629,0.171259467283101,0,0,0,0,6.5322375724841397187014307313,110.4787746570708723692736269,114.34117435240514246378305099,1224726000
9.75,0,0.1717921653359582129855888760,0.171792165335958,0.171178025322969,0.171792165335958,0.171178025322969,0,0,0,0,6.529700237299324904701430731,110.45962720592094888018303207,114.32964555396469914903279341,1225983000
9.76,0,0.1717097191478430350569276171,0.171709719147843,0.171096751430614,0.171709719147843,0.171096751430614,0,0,0,0,6.5271682196314058117014307315,110.440501189488719639108608,114.31813410324943248285336535,1227241000
9.77,0,0.1716274465176529501541348118,0.171627446517653,0.171015647742233,0.171627446517653,0.171015647742233,0,0,0,0,6.5246414110977416937014307312,110.42136529386085811789205052,114.30661874035059540686540222,1228498000
9.78,0,0.1715453571477955770535323661,0.171545357147796,0.170934723973003,0.171545357147796,0.170934723973003,0,0,0,0,6.5221200019674796077014307307,110.40228527018911069110715447,114.29514405901410719367665422,1229756000
